senas_idx,naujas_idx,persidengimo_plotas_m2,persidengimo_proc_nuo_seno,persidengimo_proc_nuo_naujo,db_sklypo_id,db_unik_id,db_kadastro_nr,atviru_unikalus_nr,atviru_kadastro_nr,atviru_plotas
0,10042,6673.1917965801,81.11586497216375,83.82423635046851,556500040121,,,440003728910,5565/0004:0121,0.7960
1,29199,331724.59024474194,98.50811673365205,99.97552232566898,554300050185,,,554300050185,5543/0005:0185,32.5300
2,57110,146.59854463672963,0.025504106397618135,0.17941037125178064,,,,440029110718,5528/0002:0109,8.1711
3,37015,422.43910155922094,0.07350994087775506,1.9327589071819953,,,,440009020842,5528/0001:0707,2.1858
4,95028,116657.13711975908,56.47991036346731,99.98717238284992,550100030117,,,440053039280,5501/0003:0365,11.6672
5,53891,600.3125295060981,99.98931679963113,99.9973480364607,551300210347,,,551300210347,5513/0021:0347,0.0600
6,11017,8171.580791387476,43.62292136145161,99.99704196238032,554500020170,,,440063518950,5545/0002:0518,0.8171
7,21327,46470.60190203273,99.99999999983812,99.99999999978809,553300020190,,,440005893349,5533/0002:0190,4.8000
8,31473,578.5222025778234,93.669684884514,98.13694584078722,551300130241,,,551300130241,5513/0013:0241,0.0590
9,91213,1490.9033999135459,99.99999999689348,99.99999999603288,555800010376,,,440049320103,5558/0001:0376,0.1491
10,23763,583.4709320194148,93.86984670322683,95.63266899626875,551300130183,,,551300130183,5513/0013:0183,0.0610
11,44418,1263.0932850061836,99.99999999760021,99.99999999964322,552300040394,,,440014701236,5523/0004:0394,0.1263
12,12057,610.131249973123,99.99999999692821,99.99999999546193,551300040105,,,551300040105,5513/0004:0105,0.0600
13,88647,3129.094254686143,99.99649815514432,99.99996508428637,556300060309,,,440006293068,5563/0006:0309,0.2900
14,73093,1770.718075082072,99.99999999863543,99.99999999856537,554400060448,,,440039214229,5544/0006:0448,0.1770
15,22829,1232.7153499782053,99.9999999967177,99.99999999940148,552000080040,,,552000080040,5520/0008:0040,0.1233
16,74704,2206.6646446239274,99.99974824710274,99.99517370102731,552800040488,,,440009705804,5528/0004:0488,0.2207
17,89736,10266.261499956034,99.99925826066001,99.99999999923752,553800140063,,,553800140063,5538/0014:0063,1.0266
18,81161,20481.665902710665,99.99999999995443,99.99999999840915,554400050350,,,554400050350,5544/0005:0350,1.8700
19,18185,5299.471127314058,99.99979678750891,99.9999999967086,555800070444,,,440006816464,5558/0007:0444,0.5300
20,24467,2324.631080687178,99.99195294939204,99.99989684749255,555800070455,,,440006897976,5558/0007:0455,0.2324
21,55981,1498.5990179632877,100.00000000017091,99.99999999718922,555800070346,,,440004787095,5558/0007:0346,0.1500
22,25180,2463.6938445920746,99.9963183773086,66.78483352927284,555800140337,,,440059120282,5558/0014:0833,0.3689
23,97139,7123.146466632628,99.94818992696072,92.21508083389756,554500030356,,,554500030356,5545/0003:0356,0.7724
24,38157,10447.804945274449,99.31149316339297,99.53679493955151,554500030268,,,554500030268,5545/0003:0268,1.0496
25,49808,1503.6459899881663,99.99999999843645,99.99985152635207,555200090024,,,555200090024,5552/0009:0024,0.1504
26,83100,3116.117019692602,99.99981870481871,99.99901139638587,555800140004,,,555800140004,5558/0014:0004,0.3116
27,16876,2034.15914994814,99.9999999990985,99.99999999662379,552800070731,,,440015074561,5528/0007:0731,0.2034
28,3217,2591.159465974212,99.99999999958601,99.99999999840709,554400030924,,,440051957205,5544/0003:0924,0.2591
29,79278,320.00214050072657,99.99999999605144,99.99999999998039,552300090379,,,440051800047,5523/0009:0379,0.0320
30,77649,14763.684349873618,99.99947337253197,99.99910763140343,555200050494,,,440050996997,5552/0005:0494,1.4764
31,27052,1911.806949976537,99.9999999990988,99.9999999980339,551800070388,,,440051548979,5518/0007:0388,0.1912
32,65763,2414.1371999968205,99.99999999912549,99.99999999908317,553800140008,,,553800140008,5538/0014:0008,0.2414
33,75657,598.3104999847048,99.9999999978215,99.99999999823193,551300010153,,,551300010153,5513/0001:0153,0.0650
34,19473,13949.85888244236,99.99999999930405,99.99999999948534,550800030286,,,440022456400,5508/0003:0286,1.3950
35,41364,1372.2031656538788,99.99999999967483,99.99999999967032,554400051357,,,440051890114,5544/0005:1357,0.1372
36,25836,35332.740634750735,99.99999999953437,99.99999999984112,555870010010,,,440022717642,5558/7001:0010,3.5333
37,97404,6.979099395837754e-09,1.3468848585396907e-08,2.9150444989051382e-12,550300080023,,,550300080023,5503/0008:0023,23.9416
38,97404,4.224285268209383e-09,2.918771371695074e-09,1.764408104037561e-12,550300080023,,,550300080023,5503/0008:0023,23.9416
39,97404,239416.56459964922,99.91797410390765,99.99999999988519,550300080023,,,550300080023,5503/0008:0023,23.9416
40,6078,598.8585999882741,99.99733383016796,99.99999999847202,554400110037,,,554400110037,5544/0011:0037,0.0600
41,32997,8614.808849855257,99.99999999914766,99.99999999876474,552800011049,,,440051112166,5528/0001:1049,0.8615
42,4967,2371.11513199832,99.99999999836307,100.00000000001504,554500010408,,,440010347123,5545/0001:0408,0.2400
43,51817,561.4421532955555,99.99977723849804,99.9974296845249,551500050238,,,440051125558,5515/0005:0238,0.0561
44,94629,54505.07337930152,99.99999999943974,100.00000000000881,556800050054,,,556800050054,5568/0005:0054,5.0500
45,79677,1000.4807590273325,99.99985991373703,99.99997551118534,554500010143,,,440031007933,5545/0001:0143,0.1000
46,91130,3254.650840429934,99.09928690778874,99.66803585862732,552800010612,,,440005120864,5528/0001:0612,0.3200
47,18467,29576.759030742513,99.99999999980172,99.99999999994475,550500010091,,,550500010091,5505/0001:0091,2.8400
48,9618,1009.6676835334059,99.99999999797244,99.9999999973985,555800040570,,,440012055017,5558/0004:0570,0.1010
49,30617,1237.9672264781543,99.99999999778541,99.9999999972854,552000050022,,,552000050022,5520/0005:0022,0.1238
50,60190,485.4863499854904,99.99999999801936,99.99999999721852,552000180096,,,552000180096,5520/0018:0096,0.0485
51,21133,2400.350149964124,9.485043178484725,99.99999999947771,555800070382,,,440005514878,5558/0007:0363,0.2400
52,82711,12594.77580117924,33.230220730673,99.99999999837553,555800070382,,,440005515497,5558/0007:0382,1.2596
